Task,Duration,Predecessors,ES,EF,LS,LF,FreeFloat,TotalFloat,OnCriticalPath
start,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,YES
A,5.0000,start,0.0000,5.0000,0.0000,5.0000,0.0000,0.0000,YES
B,8.0000,A,5.0000,13.0000,5.0000,13.0000,0.0000,0.0000,YES
C,7.0000,A,5.0000,12.0000,5.0000,12.0000,0.0000,0.0000,YES
D,2.0000,B,13.0000,15.0000,13.0000,15.0000,0.0000,0.0000,YES
E,4.0000,C,12.0000,16.0000,13.0000,17.0000,1.0000,1.0000,
F,5.0000,C,12.0000,17.0000,12.0000,17.0000,0.0000,0.0000,YES
G,5.0000,"D,E,F",17.0000,22.0000,17.0000,22.0000,0.0000,0.0000,YES
H,7.0000,D,15.0000,22.0000,15.0000,22.0000,0.0000,0.0000,YES
I,6.0000,B,13.0000,19.0000,16.0000,22.0000,3.0000,3.0000,
J,4.0000,"I,H,G",22.0000,26.0000,22.0000,26.0000,0.0000,0.0000,YES

Project Duration (weeks):,26.0000

Tasks on at least one critical path:
start,A,B,C,D,F,G,H,J

Critical Paths (task sequences):
Path 1,start -> A -> B -> D -> G -> J
Path 2,start -> A -> B -> D -> H -> J
Path 3,start -> A -> C -> F -> G -> J
